,opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,time_taken
66,25YKPHX8,Donn Cantrell,GTX Basic,Kan-code,Won,2016-11-21,2017-03-21,462.0,120 days 00:00:00
67,BXXMA7F3,Hayden Neloms,MG Advanced,Nam-zim,Lost,2016-11-21,2017-03-01,0.0,100 days 00:00:00
68,GIUUTBXM,Kary Hendrixson,GTXPro,Y-corporation,Won,2016-11-21,2017-03-14,5539.0,113 days 00:00:00
69,MFX2LR1Q,Lajuana Vencill,MG Advanced,Ron-tech,Won,2016-11-21,2017-03-15,3573.0,114 days 00:00:00
70,DUHE9FLY,Marty Freudenburg,GTXPro,Conecom,Won,2016-11-21,2017-03-01,4926.0,100 days 00:00:00
71,96BSG7R1,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,2016-11-21,2017-03-17,0.0,116 days 00:00:00
72,7FQMSWIX,Corliss Cosme,MG Special,Bioplex,Won,2016-11-22,2017-03-04,62.0,102 days 00:00:00
73,C20AVXN7,Darcel Schlecht,GTXPro,Gogozoom,Won,2016-11-22,2017-03-14,4359.0,112 days 00:00:00
74,GS1QVWCR,Kami Bicknell,GTX Basic,Plusstrip,Won,2016-11-22,2017-03-31,566.0,129 days 00:00:00
75,ZWH8FXY3,Marty Freudenburg,GTX Basic,Toughzap,Won,2016-11-22,2017-03-03,508.0,101 days 00:00:00
76,2U94Y3Q9,Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,2016-11-22,2017-03-20,0.0,118 days 00:00:00
77,AAR79NOO,Versie Hillebrand,MG Special,Codehow,Won,2016-11-22,2017-03-11,51.0,109 days 00:00:00
78,B6B0PNR2,Vicki Laflamme,GTXPro,Dalttechnology,Won,2016-11-22,2017-03-05,4899.0,103 days 00:00:00
79,M7I5O9YU,Corliss Cosme,GTX Basic,Cheers,Engaging,2016-11-23,,,0
80,LXZA2OSZ,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,2016-11-23,2017-03-03,5790.0,100 days 00:00:00
81,N0ONCYVZ,Donn Cantrell,MG Special,Kinnamplus,Lost,2016-11-23,2017-03-30,0.0,127 days 00:00:00
82,GYB4W2AU,Elease Gluck,MG Advanced,,Engaging,2016-11-23,,,0
83,513DPFX5,Gladys Colclough,GTXPro,Codehow,Won,2016-11-23,2017-03-03,4438.0,100 days 00:00:00
84,RU023K5W,Gladys Colclough,MG Advanced,Finhigh,Won,2016-11-23,2017-03-17,2972.0,114 days 00:00:00
85,VDIU10RV,Markita Hansen,MG Special,Lexiqvolax,Engaging,2016-11-23,,,0
86,BZCBQ514,Markita Hansen,GTX Basic,Y-corporation,Won,2016-11-23,2017-03-01,523.0,98 days 00:00:00
87,HEE6P0QH,Anna Snelling,MG Advanced,Statholdings,Won,2016-11-24,2017-03-25,3647.0,121 days 00:00:00
88,L8CHRJ2B,Cassey Cress,MG Advanced,Umbrella Corporation,Won,2016-11-24,2017-03-01,4200.0,97 days 00:00:00
89,579LZ3F9,Daniell Hammack,GTX Plus Basic,J-Texon,Engaging,2016-11-24,,,0
90,SU8JNMP4,Kami Bicknell,GTX Plus Basic,Bubba Gump,Engaging,2016-11-24,,,0
91,V2X2KMUR,Kami Bicknell,GTX Plus Basic,Faxquote,Won,2016-11-24,2017-03-28,1059.0,124 days 00:00:00
92,AJIPJP75,Marty Freudenburg,GTX Plus Basic,Codehow,Lost,2016-11-24,2017-03-05,0.0,101 days 00:00:00
93,NYVA2G6U,Versie Hillebrand,MG Special,Dontechi,Won,2016-11-24,2017-03-02,57.0,98 days 00:00:00
94,FF45BXTL,Vicki Laflamme,MG Advanced,Konex,Won,2016-11-24,2017-03-27,3671.0,123 days 00:00:00
95,TTA9LYBS,Anna Snelling,MG Special,Treequote,Won,2016-11-25,2017-03-01,58.0,96 days 00:00:00
96,PAGZQH8L,Cecily Lampkin,MG Advanced,Treequote,Won,2016-11-25,2017-03-06,3956.0,101 days 00:00:00
97,J7YF6DS7,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,2016-11-25,2017-03-01,5964.0,96 days 00:00:00
98,S5IXY4Z9,Corliss Cosme,GTXPro,Betasoloin,Won,2016-11-25,2017-03-06,4570.0,101 days 00:00:00
99,JQBJMETQ,Darcel Schlecht,MG Special,Domzoom,Won,2016-11-25,2017-03-27,49.0,122 days 00:00:00
100,0LVWSWEW,Violet Mclelland,MG Special,Donquadtech,Won,2016-11-25,2017-03-06,65.0,101 days 00:00:00
101,K53BC1T9,Anna Snelling,MG Special,Domzoom,Lost,2016-11-26,2017-03-27,0.0,121 days 00:00:00
102,D40N5I9Y,Darcel Schlecht,GTXPro,Finhigh,Won,2016-11-26,2017-03-08,4739.0,102 days 00:00:00
103,051QTX8Z,Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,2016-11-26,2017-03-21,1080.0,115 days 00:00:00
104,5D2XH04S,Reed Clapper,MG Special,Plussunin,Won,2016-11-26,2017-03-12,57.0,106 days 00:00:00
105,V9E582SK,Garret Kinder,GTX Basic,Konex,Won,2016-11-27,2017-03-16,469.0,109 days 00:00:00
106,UK0LEZRJ,Kary Hendrixson,GTX Basic,Condax,Won,2016-11-27,2017-03-03,532.0,96 days 00:00:00
107,PFFHM7HR,Markita Hansen,MG Advanced,Opentech,Engaging,2016-11-27,,,0
108,IT10CFQH,Rosalina Dieter,GTX Basic,Konex,Won,2016-11-27,2017-03-26,538.0,119 days 00:00:00
109,8VKD2CCH,Rosie Papadopoulos,GTXPro,Massive Dynamic,Won,2016-11-27,2017-03-21,4829.0,114 days 00:00:00
110,2XQAKBXH,Zane Levy,GTX Plus Pro,Doncon,Won,2016-11-27,2017-03-11,5370.0,104 days 00:00:00
111,7G7YLGJO,Zane Levy,GTX Plus Pro,Hatfan,Won,2016-11-27,2017-03-21,6499.0,114 days 00:00:00
112,GCA97W27,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-28,2017-03-06,1161.0,98 days 00:00:00
113,K8FUZHOG,Kary Hendrixson,GTX Basic,Scotfind,Won,2016-11-28,2017-03-26,576.0,118 days 00:00:00
114,5WJZMULK,Maureen Marcano,GTX Plus Basic,Hatfan,Won,2016-11-28,2017-03-19,979.0,111 days 00:00:00
115,ZPYD4T9W,Versie Hillebrand,MG Special,Stanredtax,Won,2016-11-28,2017-03-07,43.0,99 days 00:00:00
116,KE9ZEDS8,Gladys Colclough,MG Special,Scottech,Won,2016-11-29,2017-03-07,57.0,98 days 00:00:00
117,7KK0HQ4C,Lajuana Vencill,MG Special,Ron-tech,Lost,2016-11-29,2017-03-28,0.0,119 days 00:00:00
118,FP7014Z0,Lajuana Vencill,GTX Plus Basic,Funholding,Won,2016-11-29,2017-03-12,948.0,103 days 00:00:00
119,N4HFHDMW,Wilburn Farren,MG Advanced,Plussunin,Won,2016-11-29,2017-03-10,3012.0,101 days 00:00:00
120,2HFLKREC,Cassey Cress,MG Advanced,Zotware,Won,2016-11-30,2017-03-15,3665.0,105 days 00:00:00
121,7JVTTVCO,Violet Mclelland,GTX Basic,Gekko & Co,Won,2016-11-30,2017-03-24,564.0,114 days 00:00:00
122,3X13866U,Anna Snelling,GTX Plus Basic,dambase,Lost,2016-12-01,2017-03-06,0.0,95 days 00:00:00
123,7LE19SYE,Cassey Cress,MG Advanced,Initech,Won,2016-12-01,2017-03-22,3463.0,111 days 00:00:00
124,J5V2M7Y1,Corliss Cosme,GTX Basic,Gekko & Co,Won,2016-12-01,2017-03-26,513.0,115 days 00:00:00
125,41MURAI5,Corliss Cosme,GTX Basic,Konex,Won,2016-12-01,2017-03-28,590.0,117 days 00:00:00
126,QHI8WRIA,Darcel Schlecht,GTXPro,Dontechi,Won,2016-12-01,2017-03-30,4511.0,119 days 00:00:00
127,AJXAXV4W,Lajuana Vencill,MG Advanced,Finhigh,Lost,2016-12-01,2017-03-02,0.0,91 days 00:00:00
128,VPDXX5PJ,Niesha Huffines,GTX Basic,Cancity,Won,2016-12-01,2017-03-26,546.0,115 days 00:00:00
129,PZB9NUK8,Vicki Laflamme,MG Special,Y-corporation,Won,2016-12-01,2017-03-05,46.0,94 days 00:00:00
130,A0ANOYPF,Darcel Schlecht,GTXPro,Ron-tech,Won,2016-12-02,2017-03-09,4891.0,97 days 00:00:00
131,0P4AAPYX,Hayden Neloms,GTX Plus Basic,Golddex,Won,2016-12-02,2017-03-03,1040.0,91 days 00:00:00
132,O6T5WC3W,Hayden Neloms,GTX Plus Basic,Sonron,Won,2016-12-02,2017-03-04,1108.0,92 days 00:00:00
133,0NO04P6C,Hayden Neloms,MG Special,Nam-zim,Won,2016-12-02,2017-03-04,59.0,92 days 00:00:00
134,22OFSXBT,Jonathan Berthelot,GTXPro,Statholdings,Won,2016-12-02,2017-03-30,5406.0,118 days 00:00:00
135,MRXZTMM6,Kary Hendrixson,GTX Basic,Cheers,Won,2016-12-02,2017-03-20,515.0,108 days 00:00:00
136,LGI8QEC2,Moses Frase,GTX Basic,Treequote,Won,2016-12-02,2017-03-06,583.0,94 days 00:00:00
137,6KZ0NCFX,Versie Hillebrand,MG Special,Funholding,Won,2016-12-02,2017-03-14,54.0,102 days 00:00:00
138,3SF8O9S6,Vicki Laflamme,MG Special,Plusstrip,Won,2016-12-02,2017-03-27,60.0,115 days 00:00:00
139,CNM0H9FR,Zane Levy,GTX Basic,,Engaging,2016-12-02,,,0
140,XK668R7C,Darcel Schlecht,GTX Basic,Dontechi,Lost,2016-12-03,2017-03-12,0.0,99 days 00:00:00
141,TZCAQWL3,Darcel Schlecht,GTXPro,Funholding,Lost,2016-12-03,2017-03-19,0.0,106 days 00:00:00
142,BADC6A9H,Darcel Schlecht,GTX Basic,Globex Corporation,Won,2016-12-03,2017-03-23,516.0,110 days 00:00:00
143,B8E0UUZR,Darcel Schlecht,GTXPro,Rangreen,Won,2016-12-03,2017-03-22,4829.0,109 days 00:00:00
144,I043RXJV,Moses Frase,GTX Plus Basic,Dontechi,Lost,2016-12-03,2017-03-17,0.0,104 days 00:00:00
145,MWWB44CC,Reed Clapper,GTX Plus Basic,Donquadtech,Won,2016-12-03,2017-03-02,950.0,89 days 00:00:00
146,HBTINPDG,Vicki Laflamme,GTX Plus Basic,Xx-holding,Lost,2016-12-03,2017-03-09,0.0,96 days 00:00:00
147,DZ3KHZSX,Corliss Cosme,GTX Basic,Initech,Won,2016-12-04,2017-03-20,513.0,106 days 00:00:00
148,3W1K7X5F,Darcel Schlecht,GTXPro,Condax,Lost,2016-12-04,2017-03-09,0.0,95 days 00:00:00
149,45A57X68,Darcel Schlecht,GTX Plus Pro,Ron-tech,Won,2016-12-04,2017-03-12,5522.0,98 days 00:00:00
150,9SLYC4TR,Gladys Colclough,MG Special,Cancity,Won,2016-12-04,2017-03-09,56.0,95 days 00:00:00
151,JLWKWQYC,James Ascencio,GTXPro,Doncon,Won,2016-12-04,2017-03-08,5673.0,94 days 00:00:00
152,7QC6FOKW,Kami Bicknell,GTX Basic,Xx-holding,Won,2016-12-04,2017-03-10,598.0,96 days 00:00:00
153,XA184CMW,Marty Freudenburg,GTX Plus Pro,Rangreen,Won,2016-12-04,2017-03-16,5787.0,102 days 00:00:00
154,S0N7BYU3,Maureen Marcano,GTX Plus Basic,Singletechno,Won,2016-12-04,2017-03-08,1070.0,94 days 00:00:00
155,6WOMHAJM,Boris Faz,MG Advanced,Donquadtech,Won,2016-12-05,2017-03-14,3677.0,99 days 00:00:00
156,G1QGATKV,Cassey Cress,GTX Plus Pro,Ontomedia,Won,2016-12-05,2017-03-30,5425.0,115 days 00:00:00
157,UAE5ZC7O,Daniell Hammack,GTX Plus Pro,,Engaging,2016-12-05,,,0
158,6XFVQI32,Donn Cantrell,MG Advanced,Yearin,Won,2016-12-05,2017-03-23,3415.0,108 days 00:00:00
159,JUCNIG4H,James Ascencio,GTX Basic,,Engaging,2016-12-05,,,0
160,OGD4MDJ9,Maureen Marcano,GTX Plus Basic,Lexiqvolax,Won,2016-12-05,2017-03-21,891.0,106 days 00:00:00
161,4NGBUZWJ,Lajuana Vencill,GTX Basic,Codehow,Won,2016-12-06,2017-03-12,609.0,96 days 00:00:00
162,EFG5DGV5,Markita Hansen,MG Special,Plusstrip,Won,2016-12-06,2017-03-16,54.0,100 days 00:00:00
163,82MM4H33,Zane Levy,GTX Plus Basic,Labdrill,Won,2016-12-06,2017-03-09,1049.0,93 days 00:00:00
164,14PM641K,Cassey Cress,GTX Plus Basic,Gekko & Co,Won,2016-12-07,2017-03-07,1152.0,90 days 00:00:00
165,DSBGHOPN,Daniell Hammack,MG Special,Plussunin,Lost,2016-12-07,2017-03-20,0.0,103 days 00:00:00
166,1YSOZLHF,Daniell Hammack,GTXPro,Umbrella Corporation,Won,2016-12-07,2017-03-28,4799.0,111 days 00:00:00
167,E8RP9FRW,Gladys Colclough,MG Special,dambase,Won,2016-12-07,2017-03-12,51.0,95 days 00:00:00
168,787IRG9Q,Hayden Neloms,MG Advanced,J-Texon,Won,2016-12-07,2017-03-03,3426.0,86 days 00:00:00
169,0TUS4NAC,Jonathan Berthelot,MG Special,Rangreen,Won,2016-12-07,2017-03-11,51.0,94 days 00:00:00
170,FAJTQMUM,Kami Bicknell,GTX Basic,Finjob,Won,2016-12-07,2017-03-20,564.0,103 days 00:00:00
171,TWF0J0DF,Cecily Lampkin,GTX Plus Pro,Isdom,Won,2016-12-08,2017-03-01,5882.0,83 days 00:00:00
172,ICMXZOVL,Daniell Hammack,GTXPro,Stanredtax,Engaging,2016-12-08,,,0
173,UQ14O415,Donn Cantrell,GTXPro,Plussunin,Won,2016-12-08,2017-03-20,5059.0,102 days 00:00:00
174,IBEUTCSW,James Ascencio,MG Advanced,,Engaging,2016-12-08,,,0
175,O3KC8QI8,Kami Bicknell,GTX Plus Basic,,Engaging,2016-12-08,,,0
176,BOJSLNDG,Kami Bicknell,MG Advanced,Singletechno,Won,2016-12-08,2017-03-11,3388.0,93 days 00:00:00
177,WALNFJ70,Kary Hendrixson,GTX Plus Pro,,Engaging,2016-12-08,,,0
178,DASMR0EK,Markita Hansen,GTX Plus Pro,Zoomit,Won,2016-12-08,2017-03-10,5410.0,92 days 00:00:00
179,A76M0OOH,Reed Clapper,GTX Plus Basic,Zathunicon,Won,2016-12-08,2017-03-28,978.0,110 days 00:00:00
180,E1VKE2PH,Vicki Laflamme,MG Special,Scotfind,Won,2016-12-08,2017-03-26,54.0,108 days 00:00:00
181,SKY95DVG,Anna Snelling,MG Special,Betatech,Lost,2016-12-09,2017-03-22,0.0,103 days 00:00:00
182,V5OK4V5I,Cassey Cress,GTX Basic,Bubba Gump,Won,2016-12-09,2017-03-14,549.0,95 days 00:00:00
183,GJ4L5HHN,Corliss Cosme,GTX Plus Basic,Mathtouch,Won,2016-12-09,2017-03-14,1034.0,95 days 00:00:00
184,9R8JWY3J,Donn Cantrell,GTXPro,Vehement Capital Partners,Won,2016-12-09,2017-03-03,4998.0,84 days 00:00:00
185,0EOFVU05,Donn Cantrell,MG Advanced,Ontomedia,Won,2016-12-09,2017-03-28,3421.0,109 days 00:00:00
186,HNHOPL7M,Kary Hendrixson,GTX Plus Pro,Doncon,Won,2016-12-09,2017-03-04,5425.0,85 days 00:00:00
187,Y0NYI17R,Vicki Laflamme,MG Special,Dalttechnology,Won,2016-12-09,2017-03-15,55.0,96 days 00:00:00
188,R4F4RGAL,Violet Mclelland,MG Advanced,Silis,Won,2016-12-09,2017-03-14,3558.0,95 days 00:00:00
189,MNVMY83P,Cassey Cress,GTXPro,Plussunin,Engaging,2016-12-10,,,0
190,0ZHLQFGU,Kami Bicknell,GTXPro,Blackzim,Won,2016-12-10,2017-03-22,4839.0,102 days 00:00:00
191,40DPY158,Markita Hansen,MG Special,Hottechi,Won,2016-12-10,2017-03-25,47.0,105 days 00:00:00
192,DP9E525R,Maureen Marcano,GTX Plus Basic,Fasehatice,Won,2016-12-10,2017-03-24,1007.0,104 days 00:00:00
193,DBDUMQQK,Niesha Huffines,MG Special,Inity,Won,2016-12-10,2017-03-24,48.0,104 days 00:00:00
194,CNBN12RL,Versie Hillebrand,MG Special,Treequote,Won,2016-12-10,2017-03-07,49.0,87 days 00:00:00
195,OXL0YWEE,Violet Mclelland,GTX Basic,Mathtouch,Won,2016-12-10,2017-03-18,504.0,98 days 00:00:00
196,ZOBJHMAF,Cassey Cress,MG Advanced,,Engaging,2016-12-11,,,0
197,KD6MB4AP,Elease Gluck,MG Special,,Engaging,2016-12-11,,,0
198,5CSSZJF4,Jonathan Berthelot,GTX Basic,Finhigh,Won,2016-12-11,2017-03-21,543.0,100 days 00:00:00
199,0XG8TOJF,Kary Hendrixson,GTX Plus Pro,Fasehatice,Lost,2016-12-11,2017-03-18,0.0,97 days 00:00:00
200,IIS0O91J,Kary Hendrixson,GTXPro,Fasehatice,Won,2016-12-11,2017-03-28,5149.0,107 days 00:00:00
201,2LP5SUR5,Lajuana Vencill,GTX Basic,Treequote,Lost,2016-12-11,2017-03-09,0.0,88 days 00:00:00
202,PYZZ3IS6,Markita Hansen,GTX Plus Basic,Blackzim,Won,2016-12-11,2017-03-11,1043.0,90 days 00:00:00
203,5I4K5TQE,Cassey Cress,GTX Plus Pro,Sumace,Lost,2016-12-12,2017-03-09,0.0,87 days 00:00:00
204,RV3LPOYP,James Ascencio,GTX Basic,Condax,Won,2016-12-12,2017-03-29,437.0,107 days 00:00:00
205,A194RP0I,Rosalina Dieter,MG Advanced,,Engaging,2016-12-12,,,0
206,1HVNTEPV,Rosie Papadopoulos,GTXPro,Kinnamplus,Won,2016-12-12,2017-03-11,4465.0,89 days 00:00:00
207,LC85AQ1I,Vicki Laflamme,GTX Basic,Konex,Won,2016-12-12,2017-03-18,443.0,96 days 00:00:00
208,TBV972NP,Violet Mclelland,MG Special,Sumace,Lost,2016-12-12,2017-03-23,0.0,101 days 00:00:00
209,EJMX0EIJ,Darcel Schlecht,GTX Plus Pro,Betatech,Won,2016-12-13,2017-03-20,4278.0,97 days 00:00:00
210,VR9NYBOV,Garret Kinder,MG Special,Kinnamplus,Won,2016-12-13,2017-03-06,41.0,83 days 00:00:00
211,3U25FK08,Jonathan Berthelot,GTX Basic,Isdom,Won,2016-12-13,2017-03-28,519.0,105 days 00:00:00
212,KV2OFRJT,Kami Bicknell,GTXPro,,Engaging,2016-12-13,,,0
213,CRLK4Z1P,Maureen Marcano,GTX Basic,Kan-code,Won,2016-12-13,2017-03-04,524.0,81 days 00:00:00
214,OGENAT0L,Zane Levy,GTX Basic,Singletechno,Won,2016-12-13,2017-03-27,552.0,104 days 00:00:00
215,F57JWIDF,Gladys Colclough,GTX Plus Basic,Konmatfix,Won,2016-12-14,2017-03-02,970.0,78 days 00:00:00
216,ERFRHR3Z,Hayden Neloms,MG Advanced,,Engaging,2016-12-14,,,0
217,J53D8EOL,Kary Hendrixson,GTX Plus Basic,Hottechi,Engaging,2016-12-14,,,0
218,LF8JZ3Q5,Kary Hendrixson,GTX Plus Basic,Hatfan,Won,2016-12-14,2017-03-13,1046.0,89 days 00:00:00
219,MRGBSMQ5,Kary Hendrixson,GTX Plus Basic,Sunnamplex,Won,2016-12-14,2017-03-14,988.0,90 days 00:00:00
220,CBAV8ZJL,Lajuana Vencill,GTX Basic,Codehow,Won,2016-12-14,2017-03-22,547.0,98 days 00:00:00
221,J32XDDAW,Markita Hansen,GTX Basic,,Engaging,2016-12-14,,,0
